net,refdes,pin,side,x,y,value,part_number
+1.2V_EN1,PR0606,2,B,6713,2716,0_0402_SP,R0402_SHORT
+1.2V_EN1,PR0621,2,T,6716,2640,1/16W_0_1%_0402,R0402_15P748
+1.2V_EN1,PU0601,16,B,6793,2648,NB687BGQ-C669-Z_QFN16_3X3,NB687BGQ-C669-Z_QFN16_3X3
+1.2V_EN1,TB_TP274,1,B,6758,2698,,
+1.2V_PG,PR0605,2,B,6991,2729,1/20W_100K_5%_0201,R0201_11P811
+1.2V_PG,PU0601,12,B,6793,2569,NB687BGQ-C669-Z_QFN16_3X3,NB687BGQ-C669-Z_QFN16_3X3
+1.2V_PG,TB_TP258,1,B,6747,2569,,
-AOU_IFLG,R8111,2,T,2064,1885,1/20W_10K_5%_0201,R0201_11P811
-AOU_IFLG,TB_TP572,1,T,1156,1892,,
-AOU_IFLG,U6701,9,B,914,1729,SN1702001RTER_WQFN16_3X3,SN1702001RTER_WQFN16_3X3
-AOU_IFLG,UEC1,C6,T,1935,2041,NPCX997KAABX_VFBGA144,NPCX997KAABX_VFBGA_144P
-BATLOW,R1520,1,B,6000,2788,1/20W_100K_5%_0201,R0201_11P811
-BATLOW,R1541,1,T,1637,1766,1/20W_10K_5%_0201,R0201_11P811
-BATLOW,R8104,2,T,1613,1766,1/20W_100K_5%_0201,R0201_11P811
-BATLOW,TB_TP711,1,T,3673,1429,,
-BATLOW,UCPU1,EM56,B,5709,2970,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-BATLOW,UEC1,L10,T,1731,1938,NPCX997KAABX_VFBGA144,NPCX997KAABX_VFBGA_144P
-BEEP_ENABLE,Q8701,1,T,1549,1743,LSK3541G1ET2L_VMT3,LSK3541G1ET2L_VMT3
-BEEP_ENABLE,R8009,1,T,1607,1980,1/20W_100K_5%_0201,R0201_11P811
-BEEP_ENABLE,TB_TP1061,1,T,1523,1803,,
-BEEP_ENABLE,UEC1,L6,T,1731,2041,NPCX997KAABX_VFBGA144,NPCX997KAABX_VFBGA_144P
-BT_INT,R8053,1,T,2382,2427,0_0201_SP,R0201_SHORT
-BT_INT,TB_TP1418,1,T,2420,2425,,
-BT_INT,UWLAN1,64,B,5949,4784,INTEL_AX211D2W_LGA144,INTEL_AX211D2W_LGA_144P-T
-BT_INT,UWLAN2A,64,B,5955,4783,8501-602200-01_LGA76,8501-602200-01_LGA_76P
-BT_INT_R,R8053,2,T,2359,2427,0_0201_SP,R0201_SHORT
-BT_INT_R,R8054,2,T,2335,2427,1/20W_100K_5%_0201,R0201_11P811
-BT_INT_R,UEC1,B5,T,1961,2066,NPCX997KAABX_VFBGA144,NPCX997KAABX_VFBGA_144P
-CAM_PRIVACY,JCAM1,10,B,8343,4955,I-PEX_20654-030E-01,I-PEX_20654-030E-01_30P
-CAM_PRIVACY,R0523,1,T,6047,3249,1/20W_100K_5%_0201,R0201_11P811
-CAM_PRIVACY,TB_TP38,1,T,6006,3260,,
-CAM_PRIVACY,TB_TP39,1,B,6483,4851,,
-CAM_PRIVACY,UCPU1,EY37,B,5828,3260,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-CATERR,R0802,1,T,4337,3659,1/20W_1K_5%_0201,R0201_11P811
-CATERR,TP0801,1,T,4373,3659,Test_Point_16MIL,TPC16
-CATERR,UCPU1,AF15,B,4352,3614,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-CHG_PROCHOT,PR0226,2,B,3225,1288,1/16W_0_5%_0402,R0402_15P748
-CHG_PROCHOT,R7918,1,T,2345,2192,1/20W_0_5%_0201,R0201_11P811
-CHG_PROCHOT,TB_TP544,1,B,3292,1337,,
-CHG_PROCHOT_R,R7918,2,T,2345,2169,1/20W_0_5%_0201,R0201_11P811
-CHG_PROCHOT_R,U7901,15,T,2317,2105,NCT5635Y-W_QFN24_4X4,NCT5635Y-W_QFN24_4X4
-CLKREQ0_PCIE4_A,D7002,1,T,1631,1296,CDZCGT2RA6P8B_VMN2-2,CDZCGT2RA6P8B_VMN2-2-Y_CS20
-CLKREQ0_PCIE4_A,JSSD1,52,B,1713,1450,ARGOSY_NASM0-S6710-TS20,ARGOSY_NASM0-S6710-TS20_67P-T
-CLKREQ0_PCIE4_A,R7002,1,T,1700,1367,1/20W_10K_5%_0201,R0201_11P811
-CLKREQ0_PCIE4_A,TB_TP635,1,T,1687,1407,,
-CLKREQ0_PCIE4_A,UCPU1,FB29,B,5865,3383,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-CLKREQ1_PCIE3_P5,R7203,1,B,6296,4340,1/16W_10K_5%_0402,R0402_15P748
-CLKREQ1_PCIE3_P5,TB_TP1298,1,T,5932,3258,,
-CLKREQ1_PCIE3_P5,UCPU1,FB36,B,5865,3285,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-CLKREQ1_PCIE3_P5,UWLAN1,30,B,6343,4449,INTEL_AX211D2W_LGA144,INTEL_AX211D2W_LGA_144P-T
-CLKREQ1_PCIE3_P5,UWLAN2A,30,B,6343,4455,8501-602200-01_LGA76,8501-602200-01_LGA_76P
-CLKREQ2_PCIE3_P1,D7408,1,T,2751,3482,CDZCGT2RA6P8B_VMN2-2,CDZCGT2RA6P8B_VMN2-2-Y_CS20
-CLKREQ2_PCIE3_P1,JWWAN1,52,B,2756,3471,ARGOSY_NASB0-S6710-TS20,ARGOSY_NASB0-S6710-TS20_75P-T
-CLKREQ2_PCIE3_P1,R7403,1,T,2749,3531,1/20W_10K_5%_0201,R0201_11P811
